outcome,change_type,event_week,coef,se,ci_low,ci_high,pval,estimated,baseline_week,ci_level,cluster_level,estimator
meet_flg,workmode_only,-3,0.006405562711097018,0.02158744876782619,-0.0359055359364081,0.048716661358602135,0.7666760882964216,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-2,0.029766447283918203,0.02128664254632352,-0.011955075362797433,0.07148796993063383,0.1620070589998739,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,0,0.0064396120161324365,0.022179364518649644,-0.0370316332514508,0.04991085728371568,0.7715547927364763,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,1,0.0013640323605337715,0.02128736716949068,-0.04035891053748797,0.04308697525855551,0.9489089698484308,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,2,-0.007008779322790059,0.02030224727080354,-0.046800900952339644,0.03278334230675953,0.729928270553716,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,3,-0.007975711292681065,0.021197344913382585,-0.049522211823676214,0.03357078923831409,0.7067244159691373,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,4,-0.015527567416913862,0.024365167132485533,-0.06328295533667665,0.03222782050284892,0.5239402597751552,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,5,-0.007304365154091658,0.024437290678454064,-0.055201114218522467,0.040592383910339154,0.7650150837959662,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,6,0.004189654906709215,0.02269959054511596,-0.04030122612059481,0.04868053593401324,0.8535669608560414,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,7,0.029498267856969577,0.021411048866356017,-0.012467089442737254,0.07146362515667641,0.16829496540908995,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,8,0.029804035885938798,0.02422440929109609,-0.01767546862691975,0.07728354039879734,0.2185759632811337,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-8,0.05119328372089908,0.020284787241917426,0.011435265181785802,0.09095130226001236,0.011613583013057927,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-7,0.017807262500798664,0.026426256410877227,-0.033987985818685534,0.06960251082028286,0.5004102086313162,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-6,0.04748782227210502,0.02761185417740603,-0.006631188057767801,0.10160683260197784,0.08546615068104502,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-5,0.04909256570752927,0.027673481546107843,-0.005147233765366958,0.10333236518042549,0.07606786827961587,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-4,0.06288505214800044,0.028069825734352356,0.007868421279429903,0.11790168301657097,0.025073514068202574,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-3,0.047611265793752966,0.026642833820744543,-0.004608472493211113,0.09983100408071705,0.0739378854665318,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,-2,0.02492069368516354,0.027148542901604174,-0.028290230300345467,0.07813161767067255,0.3586536504906148,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,0,-0.016174619591684265,0.02941112788538014,-0.07382019180191782,0.04147095261854929,0.5823558174075005,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,1,-0.06957430135626773,0.03856475635282418,-0.14516091115139412,0.006012308438858652,0.07122069667657605,True,-1,0.95,hex,PanelOLS hex+date FE event-study
success_within_20,region_and_workmode,2,-0.016918950705223316,0.04066859098902491,-0.09662905933086495,0.06279115792041833,0.6773963559303828,True,-1,0.95,hex,PanelOLS hex+date FE event-study
