outcome,term,event_week,estimate,std_error,ci_lower,ci_upper,p_value,unit,estimated,n_obs,n_hexagons,cohorts_used
meet_flg,R,8,-14.036988422916934,2.990326257180062,-19.897971599491584,-8.176005246342285,2.6799677717015413e-06,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-8,0.9455977581381204,0.942776100486872,-0.9022256527565005,2.7934211690327415,0.31586603396217106,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-7,1.6056281357131372,1.190060279870724,-0.7268676120951726,3.9381238835214467,0.1772752707470504,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-6,1.1815872849403202,1.31027759495682,-1.3865321375626116,3.7497067074432526,0.3671732295751684,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-5,-0.17067510285966098,1.300485373917776,-2.719601956446966,2.3782517507276437,0.8955860090069319,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-4,1.6797612928825638,1.2828936937718634,-0.8346861987504016,4.19420878451553,0.19041682974595142,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-3,0.8903726224273057,1.1858400708152181,-1.433851595070036,3.2145968399246474,0.45275202858143304,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,-2,0.8033106653535533,1.2835349865298404,-1.712393748013868,3.3190150787209745,0.5314091069072839,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,0,4.534948881063704,1.2188425286332871,2.14604046745469,6.923857294672716,0.0001987491086621329,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,W_plus,1,1.3299423562155452,1.3032651567946507,-1.2244328194860352,3.8843175319171253,0.30750763142667425,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
